# Measured spectrum of Vega from The Astronomical Journal, 127:3508-3515, 2004 June by R. C. Bohlin and R. L. Gilliland
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
1.473099999999999909e+03,6.021269699999999730e-09
1.474299999999999955e+03,6.134903299999999791e-09
1.475400000000000091e+03,6.367099999999999654e-09
1.476599999999999909e+03,6.597383500000000103e-09
1.477799999999999955e+03,6.647933000000000353e-09
1.479000000000000000e+03,6.414057299999999632e-09
1.480200000000000045e+03,6.195807000000000213e-09
1.481299999999999955e+03,6.258616300000000106e-09
1.482500000000000000e+03,6.255065999999999956e-09
1.483700000000000045e+03,6.222770300000000104e-09
1.484900000000000091e+03,6.440151500000000412e-09
1.486099999999999909e+03,6.789716000000000379e-09
1.487200000000000045e+03,7.128805000000000386e-09
1.488400000000000091e+03,7.154845599999999796e-09
1.489599999999999909e+03,6.876758700000000145e-09
1.490799999999999955e+03,6.646134800000000375e-09
1.492000000000000000e+03,6.627735199999999821e-09
1.493099999999999909e+03,6.677369300000000263e-09
1.494299999999999955e+03,6.752846700000000088e-09
1.495500000000000000e+03,7.066940999999999905e-09
1.496700000000000045e+03,7.522636000000000367e-09
1.497799999999999955e+03,7.622293999999999776e-09
1.499000000000000000e+03,7.563533000000000789e-09
1.500200000000000045e+03,7.550326999999999791e-09
1.501400000000000091e+03,7.463501999999999938e-09
1.502599999999999909e+03,7.388949499999999642e-09
1.503700000000000045e+03,7.305344999999999861e-09
1.504900000000000091e+03,7.037983499999999595e-09
1.506099999999999909e+03,6.771230199999999645e-09
1.507299999999999955e+03,6.452373999999999746e-09
1.508500000000000000e+03,6.294844600000000379e-09
1.509599999999999909e+03,6.217731700000000328e-09
1.510799999999999955e+03,6.185432000000000029e-09
1.512000000000000000e+03,6.352683699999999967e-09
1.513200000000000045e+03,6.566774700000000319e-09
1.514400000000000091e+03,6.681518000000000088e-09
1.515500000000000000e+03,6.794194999999999615e-09
1.516700000000000045e+03,6.854317600000000025e-09
1.517900000000000091e+03,7.009853600000000055e-09
1.519099999999999909e+03,7.386510000000000376e-09
1.520299999999999955e+03,7.472268000000000071e-09
1.521400000000000091e+03,7.136407000000000046e-09
1.522599999999999909e+03,6.990322500000000290e-09
1.523799999999999955e+03,6.860962999999999978e-09
